long/lat,C/E'd,Uploaded on map,Multiple offices?,The?,Organization Name (English),Organization Name (Chinese),Professional Supervisory Unit (English),Professional Supervisory Unit (Chinese),Organization Origin,Field of Work,Field of Work (Chinese),Registration Location,Date of Registration,Permitted Area(s) of Operation,Website (English),Website (Chinese),Address,Month,Aging,Agriculture,Animal Protection,Arts and Culture,Civil Soc'y Cap'y building,Disabilities,Disaster Relief,Econ. Development,Education,Energy,Environment,Ethnic Affairs,Gender Issues,Health,Human Rights,Infrastructure,Int'l Relations/Exchange,Labor,Law and Governance,LGBTQ Issues,Media,Migrants,Poverty Alleviation,Religion,Rural Issues/Devt,Sport,Technology,Tourism,Trade,Urban Issues/Devt,Youth,ALL OF CHINA,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Xinjiang Bingtuan,Yunnan,Zhejiang,Unknown,Sum sectors,Sum provinces,actarea_ch,Date of Change,Type of change,US Location
"121.504034, 31.233859",x,x,,,Advanced Medical Technology Association (AdvaMed),先进医疗技术协会,Shanghai Commission of Commerce,上海市商务委员会,United States,Trade,从事有关在华贸易和投资方面的信息交流、市场调研、为促进两地间经贸往来进行业务联络。,Shanghai,2017-04-01,"Beijing, Chongqing, Fujian, Guangdong, Hainan, Hebei, Henan, Hubei, Hunan, Jiangsu, Liaoning, Qinghai, Shaanxi, Shandong, Shanghai, Sichuan, Tianjin, Yunnan, Zhejiang",https://www.advamed.org/,,上海市浦东新区银城中路488号太平金融大厦18层1802B-05室,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,1,1,,1,1,1,,1,,,1,,1,1,1,1,,1,1,,,,1,1,,1,19,上海市、北京市、天津市、河北省、辽宁省、江苏省、浙江省、福建省、山东省、河南省、湖北省、湖南省、广东省、海南省、重庆市、四川省、云南省、陕西省、青海省,,,"Washington, D.C. "
"106.575217, 29.556099",x,x,,,Agriterra,荷兰农民生产者协会,Chongqing Commission of Agriculture and Rural Affairs (formerly Chongqing Agriculture Commission),重庆市农业委员会,The Netherlands,"Economic Development, Environment, Rural Issues/Development",通过借鉴荷兰超过百余年的农村经济合作组织的发展经验，以技术援助、对口培训、咨询建议等方式为中国农民合作社的规范化与可持续发展提供智力支撑。,Chongqing,2017-11-13,"Chongqing, Shaanxi, Sichuan, Yunnan",https://www.agriterra.org/,,重庆市渝中区 解放碑民权路26号英利国际金融中心54层5405单元,11,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,3,4,"重庆市,四川省,云南省,陕西省",,,
"121.404943, 31.202491",x,x,,,Aichi Industrial Revitalization Organization,日本公益财团法人爱知产业振兴机构,Shanghai Commission of Commerce,上海市商务委员会,Japan,Trade,从事有关在华贸易和投资方面的信息交流，为促进两地间经贸往来进行业务联系。,Shanghai,2017-11-03,China,,,上海市长宁区 延安西路2201号上海国际贸易中心21层2109室,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,中国境内,,,
"126.701819, 45.770569",x,x,,,AIFO (Associazione Italiana Amici di Raoul Follereau),意大利爱福协会,Heilongjiang Health Commission (formerly Heilongjiang Health and Family Planning Commission),黑龙江省卫生和计划生育委员会,Italy,"Aging, Disabilities, Gender Issues, Health, Youth",提高弱势群体的生活质量，尤其关注： 残疾人士，包括精神障碍患者（重点关注妇女、儿童和老年人）； 受麻风病影响人群；妇女和儿童；社区中没有接受医疗服务渠道人群；,Heilongjiang,2017-09-21,"Beijing, Heilongjiang, Yunnan",,,黑龙江省哈尔滨市道外区 道外区卫星路五十六号,9,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,5,3,"北京市,黑龙江省,云南省",,,
"117.204111, 31.855824",x,x,,,"Air Conditioning, Heating, and Refrigeration Institute",美国空调供暖和制冷工业协会,Anhui Administration of Market Regulation (formerly Anhui Administration of Quality and Technical Supervision),安徽省质量技术监督局,United States,Trade,空调供暖和制冷产品质量技术的交流、合作与研究,Anhui,2018-04-17,China,http://www.ahrinet.org/Home,,安徽省合肥市长江西路888号,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,中国境内,,,"Arlington, VA"
"121.402283, 31.201965",x,x,,,AITEX,西班牙纺织行业研究协会,Shanghai Commission of Commerce,上海市商务委员会,Spain,Trade,从事有关在华贸易和投资方面的信息交流、市场调研、为促进两地间经贸往来进行业务联络。,Shanghai,2017-04-01,"Guangdong, Jiangsu, Shandong, Shanghai, Zhejiang",,,上海市长宁区延安西路2299号世贸商城11A07室,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,1,,,,,,,,1,,1,5,上海市、江苏省、浙江省、山东省、广东省,,,
"117.668008, 39.028547",x,x,,,All Japan Seamen’s Union,全日本海员工会,Tianjin Federation of Trade Unions,天津市总工会,Japan,Labor,承办本工会在津培训海员的咨询联络工作,Tianjin,2017-07-11,Tianjin,,,天津市滨海新区津塘公路1498号天津海员学校内,7,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,天津市,,,
"121.445042, 31.222368",x,x,,,Almond Board of California,美国加州巴旦木协会,Shanghai Commission of Commerce,上海市商务委员会,United States,Trade,从事有关巴旦木产品的信息交流、市场调研，为促进两地间经贸往来进行业务联络。,Shanghai,2017-05-31,China,http://www.almonds.com/,http://www.jiazhoubadanmu.com/front,上海市静安区南京西路1717号会德丰国际广场25楼2530室,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,中国境内,,,"Modesto, CA"
"117.208083, 39.128625",x,x,,,America Trade Development Council,美国贸易发展委员会,Tianjin Commission of Commerce,天津市商务委员会,United States,"Economic Development, Trade",开展经贸活动，组织大型国际会议。加强美中经济往来，促进美中经济发展。	,Tianjin,2018-08-30,Tianjin,http://www.atdcusa.org/index.asp,http://www.atdcusa.org/index.asp,天津市和平区 吉林路38号205室,20,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,1,天津市,,,
"110.338149, 20.063966",x,x,,,American Academy of Anti-Aging Medicine,美国抗衰老医学会,Hainan Health Commission (formerly Hainan Health and Family Planning Commission),海南省卫生健康委员会,United States,"Aging, Health",开展健康老龄化领域人类抗衰老健康宣传教育及人才培养公益事业项目。,Hainan,2019-05-09,Hainan,https://www.a4m.com/,N/A,海南省海口市美兰区 海南省海口市美兰区人民大道53号广元大厦9楼905-6室,29,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,海南省,,,
